,location,date,job,rating,review_title,review_content
1507,op) (Former Employee) ," Toronto, ON ",Business Analyst (Co-op),4.0,Great learning experience.,Friendly team and willing to teach individuals to see them succeed. The upper level management is very helpful in finding the right role for you and is willing to assist individuals whenever needed.
1508," Toronto, ON ", 7 June 2017,Senior Analyst,4.0,Standard banking culture,Work environment is as expected at any large Banking institution. Working hours can be extensive but really depends on the group that you're working in and how your boss decides to run said group.
1509, Toronto , 3 June 2017,Retail  banking  Officer,4.0,Productive,"A wonderful diversified  company  to  look for  career  growth and  place  to  share  and  learn  and  thrive.Its  a  very  good  bank and  always  get to  learn and  explore  new  areas.Management  excellent , and  work culture is amicable.Diversity in workplace and  dynamism  prevails.Innovative thinking by the management leading to new  ideas , like  Digitalization of bank soon.Multiculturism prevails and  also market  share  high  and  steady.Good  dividend  returns  to  shareholders."
1510, toronto , 1 June 2017,call center,3.0,Poor management,"management is incompetent. they don't know how to manage people, or conduct themselves in a professional manner. There are lots of favoritism and other dumb stuff."
1511," Scarborough, ON ", 1 June 2017,Teller,4.0,Nice,Great place to work it teaches you temperaments of everyday clientele and how banking really works in Canada. Great place to get your foot through the door!
1512," Toronto, ON ", 2 November 2020,Financial Advisor,4.0,A Great Place to Start Your Career in Financial Services,"If you are just out of school or finishing a degree, Scotiabank is a great place to learn the fundamentals of customer service and financial products."
1513," Calgary, AB ", 1 June 2017,Customer Service Representative,5.0,fun work place,"management is excellent .they look after their employees very well .working in this bank  taught me management skills ,customer care time management .excellent place to work ,friendly environment,friendly staff.very compassionate ,they approved paid 3 months leave for me to look after my sister in law who was suffering cancer .this company looks after  welfare and happiness of their employes.awesome experience working with scotia bank."
1514," Toronto, ON ", 31 May 2017,Customer service representative,4.0,Good Workplace,In my time at this workplace I have enjoyed and have learned many things  to enhance my skills.Very Good work environment and very much friendly aswell.
1515," Toronto, ON ", 31 May 2017,Manager Business Analysis,4.0,Productive and Engaging workplace,"Productive and Engaging workplace. Employee advancement, training and benefits are an important part of total compensation here. As an employee you feel your being recognized for your contribution."
1516," Scarborough, ON ", 31 May 2017,Student Loans Coordinator,4.0,stressful place to work  unattainable targets to reach,"Scotiabank places unattainable targets on their employees and if you don't reach your targets then you do not get a bonus or a raise.There is no longer any job security are Scotia, since they want everything digital"
1517," Calgary, AB ", 30 May 2017,Small Business Advisor,4.0,Better work envjronment than some other big 5 banks,Great place to work. No pressure selling involved. Bank keeps customer interest above everything else. Good work life balance. Salaries could have been better though.
1518," Toronto, ON ", 29 May 2017,Small Business Advisor,4.0,Life as a Scotiabanker,"Scotiabank does have one of the most diverse employees population. Has worked for great people. Like everything else in life, if you have the motivation you can go far with Scotiabank."
1519," Calgary, AB ", 29 May 2017,Financial Advisor,2.0,No room for growth,"Poorly managed company. Salary is much less than the industry average. Inexperienced and immature management.  Change in the industry led to change in the job, however, poorly executed and planning."
